id,currency_value_formatted,last_updated,currency_name,currency_value,currency_code
10290379,"83,724.52499987",2025-04-13 10:18:54.695731,Bitcoin,83724.524999868800000000,BTC
10290289,"83,750.00500006",2025-04-13 10:18:39.662785,Bitcoin,83750.005000063700000000,BTC
10290191,"83,788.54999975",2025-04-13 10:18:24.671371,Bitcoin,83788.549999750400000000,BTC
10290123,"83,789.26000019",2025-04-13 10:18:09.661349,Bitcoin,83789.260000193300000000,BTC
10290052,"83,781.44500018",2025-04-13 10:17:54.670329,Bitcoin,83781.445000178300000000,BTC
10289962,"83,792.35500012",2025-04-13 10:17:29.656262,Bitcoin,83792.355000115300000000,BTC
10289881,"83,826.21999969",2025-04-13 10:17:14.678445,Bitcoin,83826.219999687100000000,BTC
10289798,"83,870.35499973",2025-04-13 10:16:59.646216,Bitcoin,83870.354999731500000000,BTC
10289708,"83,887.39499977",2025-04-13 10:16:39.664270,Bitcoin,83887.394999774800000000,BTC
10289632,"83,876.06000018",2025-04-13 10:16:24.654619,Bitcoin,83876.060000181500000000,BTC
10289525,"83,878.72499995",2025-04-13 10:16:04.685896,Bitcoin,83878.724999948600000000,BTC
10289454,"83,834.41499983",2025-04-13 10:15:49.659404,Bitcoin,83834.414999835000000000,BTC
10289386,"83,808.84000001",2025-04-13 10:15:29.651893,Bitcoin,83808.840000012300000000,BTC
10289326,"83,779.07500010",2025-04-13 10:15:09.644778,Bitcoin,83779.075000097300000000,BTC
10289232,"83,780.08500029",2025-04-13 10:14:59.619653,Bitcoin,83780.085000292200000000,BTC
10289156,"83,775.26500012",2025-04-13 10:14:39.668519,Bitcoin,83775.265000118800000000,BTC
10289106,"83,790.49500024",2025-04-13 10:14:14.661942,Bitcoin,83790.495000238900000000,BTC
10289020,"83,810.48500034",2025-04-13 10:14:04.722058,Bitcoin,83810.485000335800000000,BTC
10288937,"83,810.39500009",2025-04-13 10:13:39.651722,Bitcoin,83810.395000093700000000,BTC
10288873,"83,802.69500029",2025-04-13 10:13:24.644309,Bitcoin,83802.695000290900000000,BTC
10288826,"83,802.85500033",2025-04-13 10:13:09.649361,Bitcoin,83802.855000328600000000,BTC
10288761,"83,800.39999970",2025-04-13 10:12:59.679399,Bitcoin,83800.399999696200000000,BTC
10288698,"83,805.04500019",2025-04-13 10:12:34.648282,Bitcoin,83805.045000189800000000,BTC
10288652,"83,799.83499998",2025-04-13 10:12:24.654530,Bitcoin,83799.834999976900000000,BTC
10288612,"83,800.86999977",2025-04-13 10:12:19.641174,Bitcoin,83800.869999767600000000,BTC
10288572,"83,799.83499998",2025-04-13 10:12:14.653689,Bitcoin,83799.834999976900000000,BTC
10288507,"83,800.86999977",2025-04-13 10:12:04.660808,Bitcoin,83800.869999767600000000,BTC
10288432,"83,807.25499989",2025-04-13 10:11:54.665840,Bitcoin,83807.254999885600000000,BTC
10288321,"83,782.56499988",2025-04-13 10:11:34.662983,Bitcoin,83782.564999875000000000,BTC
10288255,"83,782.37000022",2025-04-13 10:11:19.661940,Bitcoin,83782.370000219200000000,BTC
10288200,"83,763.83500014",2025-04-13 10:11:04.657092,Bitcoin,83763.835000143200000000,BTC
10288128,"83,724.94500022",2025-04-13 10:10:54.667605,Bitcoin,83724.945000217100000000,BTC
10288077,"83,725.05499989",2025-04-13 10:10:34.640399,Bitcoin,83725.054999886400000000,BTC
10287999,"83,725.04500029",2025-04-13 10:10:24.663630,Bitcoin,83725.045000286800000000,BTC
10287939,"83,720.14500021",2025-04-13 10:10:09.660964,Bitcoin,83720.145000212900000000,BTC
10287876,"83,707.30000003",2025-04-13 10:09:49.643412,Bitcoin,83707.300000033800000000,BTC
10287798,"83,689.35500006",2025-04-13 10:09:34.661631,Bitcoin,83689.355000061600000000,BTC
10287719,"83,724.10500023",2025-04-13 10:09:24.664369,Bitcoin,83724.105000229500000000,BTC
10287658,"83,765.07500019",2025-04-13 10:09:04.651169,Bitcoin,83765.075000192200000000,BTC
10287589,"83,817.45999979",2025-04-13 10:08:44.624705,Bitcoin,83817.459999787500000000,BTC
10287488,"83,783.10500015",2025-04-13 10:08:24.667088,Bitcoin,83783.105000149400000000,BTC
